hand,truco_score
1b 2c 7o,34.908882
1b 2c 7c,24.086487
1b 2c 10e,25.633976
1b 2c 10b,25.633976
1b 2c 10o,25.633976
1b 2c 10c,25.633976
1b 2c 11e,27.595367
1b 2c 11b,27.595367
1b 2c 11o,27.595367
1b 2c 11c,27.595367
1b 2c 12e,29.556757
1b 2c 12b,29.556757
1b 2c 12o,29.556757
1b 2c 12c,29.556757
1b 3e 3b,35.04556
1b 3e 3o,35.04556
1b 3e 3c,35.04556
1b 3e 4e,26.030888
1b 3e 4b,26.030888
1b 3e 4o,26.030888
1b 3e 4c,26.030888
1b 3e 5e,27.176834
1b 3e 5b,27.176834
1b 3e 5o,27.176834
1b 3e 5c,27.176834
1b 3e 6e,28.32278
1b 3e 6b,28.32278
1b 3e 6o,28.32278
1b 3e 6c,28.32278
1b 3e 7e,35.72973
1b 3e 7b,29.105791
1b 3e 7o,35.545174
1b 3e 7c,29.105791
1b 3e 10e,30.041698
1b 3e 10b,30.041698
1b 3e 10o,30.041698
1b 3e 10c,30.041698
1b 3e 11e,31.187645
1b 3e 11b,31.187645
1b 3e 11o,31.187645
1b 3e 11c,31.187645
1b 3e 12e,32.33359
1b 3e 12b,32.33359
1b 3e 12o,32.33359
1b 3e 12c,32.33359
1b 3b 3o,35.04556
1b 3b 3c,35.04556
1b 3b 4e,26.030888
1b 3b 4b,26.030888
1b 3b 4o,26.030888
1b 3b 4c,26.030888
1b 3b 5e,27.176834
1b 3b 5b,27.176834
1b 3b 5o,27.176834
1b 3b 5c,27.176834
1b 3b 6e,28.32278
1b 3b 6b,28.32278
1b 3b 6o,28.32278
